"<a href=""http://confluence.aheadworks.com/display/EUDOC/Blog+-+Magento+2#Blog-Magento2-RegisteringDisqus"" target=""_blank"">How to set it up?</a>","<a href=""http://confluence.aheadworks.com/display/EUDOC/Blog+-+Magento+2#Blog-Magento2-RegisteringDisqus"" target=""_blank"">How to set it up?</a>"
"%1 post(s) imported successfully","%1 post(s) imported successfully"
"A threshold to display ""Show X More"" link. Set to 0 to show all categories.", "A threshold to display ""Show X More"" link. Set to 0 to show all categories."
"Activate Related Products", "Activate Related Products"
"Add CMS Block", "Add CMS Block"
"Allow Comments","Allow Comments"
"and","and"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure you wan\'t to delete a ${ $.$data.name } record?","Are you sure you wan\'t to delete a ${ $.$data.name } record?"
"Are you sure you wan\'t to delete a ${ $.$data.title } record?","Are you sure you wan\'t to delete a ${ $.$data.title } record?"
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"A total of %1 record(s) were changed.","A total of %1 record(s) were changed."
"Author","Author"
"Back","Back"
"Blog Meta Keywords", "Blog Meta Keywords"
"Blog Posts only", "Blog Posts only"
"Can consist of letters, numbers, slashes, underscores, dots and hyphens.", "Can consist of letters, numbers, slashes, underscores, dots and hyphens."
"Categories","Categories"
"Choose previously exported xml file, containing posts from Wordpress","Choose previously exported xml file, containing posts from Wordpress"
"Create Permanent Redirect for URLs if URL Key Changed", "Create Permanent Redirect for URLs if URL Key Changed"
"Blog Meta Description","Blog Meta Description"
"Posts","Posts"
"Blog by Aheadworks","Blog by Aheadworks"
"Blog Tag Cloud by Aheadworks","Blog Tag Cloud by Aheadworks"
"Blog Tag Cloud Default Template","Blog Tag Cloud Default Template"
"Blog Title","Blog Title"
"Cannot delete.","Cannot delete."
"Categories","Categories"
"Category could not be deleted.","Category could not be deleted."
"Category Name","Category Name"
"Category was successfully deleted.","Category was successfully deleted."
"Change Status","Change Status"
"Content","Content"
"Content is required.","Content is required."
"Comments Enabled","Comments Enabled"
"Create Category","Create Category"
"Created","Created"
"Create New Post","Create New Post"
"Default View","Default View"
"Delete","Delete"
"Delete ${ $.$data.name }","Delete ${ $.$data.name }"
"Delete ${ $.$data.title }","Delete ${ $.$data.title }"
"Delete items","Delete items"
"Delete selected categories?","Delete selected categories?"
"Disabled","Disabled"
